Fecha,Materia,Clima,Día de la Semana,Hora,Profesor,Asistencia,Historial de Faltas del Mes Pasado,Renta,Traslado
18/11/2023,Historia,Ventoso,Lunes,14:00,Ana,0,0,1,bicicleta
20/06/2023,Física,Ventoso,Lunes,10:00,Ana,0,4,1,combi
23/09/2023,Física,Lluvioso,Miércoles,10:00,Juan,1,10,0,camión
19/08/2023,Biología,Ventoso,Miércoles,08:00,Jose,0,4,0,auto propio
20/01/2023,Física,Soleado,Martes,12:00,Jose,0,6,0,taxi
17/06/2023,Matemáticas,Nublado,Martes,10:00,Ana,0,6,0,moto
09/09/2023,Historia,Nublado,Viernes,08:00,Jose,0,1,1,moto
12/02/2023,Biología,Lluvioso,Jueves,10:00,Juan,0,8,0,moto
19/04/2023,Biología,Lluvioso,Martes,14:00,Jose,1,4,0,camión
31/01/2023,Historia,Ventoso,Jueves,08:00,Ana,0,0,1,camión
10/04/2023,Física,Ventoso,Viernes,16:00,Carmen,1,2,0,combi
05/06/2023,Química,Nublado,Lunes,16:00,Jose,1,10,0,combi
13/09/2023,Historia,Lluvioso,Jueves,10:00,Jose,0,5,1,combi
25/03/2023,Historia,Nublado,Martes,14:00,Carmen,1,8,0,camión
21/07/2023,Matemáticas,Soleado,Viernes,08:00,Norma,0,4,1,moto
19/06/2023,Historia,Soleado,Jueves,14:00,Jose,0,0,1,taxi
04/12/2023,Matemáticas,Lluvioso,Jueves,12:00,Ana,1,4,1,auto propio
13/04/2023,Física,Soleado,Lunes,10:00,Juan,0,0,0,camina
26/09/2023,Historia,Lluvioso,Viernes,10:00,Carmen,1,10,0,bicicleta
07/12/2023,Matemáticas,Soleado,Jueves,12:00,Ana,1,2,1,auto propio
03/09/2023,Biología,Lluvioso,Martes,12:00,Juan,0,0,1,taxi
07/06/2023,Matemáticas,Soleado,Viernes,08:00,Juan,0,6,1,auto propio
17/12/2023,Química,Lluvioso,Lunes,14:00,Juan,0,0,0,taxi
09/03/2023,Matemáticas,Nublado,Martes,16:00,Jose,0,4,1,camina
18/05/2023,Física,Nublado,Viernes,16:00,Juan,0,6,1,taxi
31/10/2023,Física,Nublado,Jueves,14:00,Carmen,0,3,1,combi
25/11/2023,Historia,Soleado,Lunes,10:00,Carmen,0,10,0,moto
29/06/2023,Historia,Nublado,Jueves,14:00,Carmen,0,9,1,camión
16/05/2023,Historia,Soleado,Martes,08:00,Carmen,0,2,1,moto
20/01/2023,Biología,Ventoso,Jueves,12:00,Norma,0,8,1,camina
21/11/2023,Biología,Nublado,Viernes,08:00,Carmen,0,4,1,moto
19/04/2023,Biología,Ventoso,Jueves,14:00,Carmen,1,5,0,auto propio
28/08/2023,Física,Lluvioso,Jueves,10:00,Carmen,1,6,1,moto
22/11/2023,Química,Ventoso,Miércoles,10:00,Juan,1,3,1,combi
06/04/2023,Biología,Ventoso,Jueves,10:00,Norma,1,10,0,taxi
11/07/2023,Física,Ventoso,Viernes,10:00,Jose,0,3,1,moto
17/09/2023,Física,Soleado,Miércoles,16:00,Juan,0,4,0,bicicleta
26/12/2023,Física,Lluvioso,Martes,14:00,Ana,1,9,0,combi
05/09/2023,Física,Lluvioso,Jueves,08:00,Jose,0,9,0,camina
03/02/2023,Biología,Soleado,Martes,10:00,Norma,0,5,1,taxi
07/03/2023,Física,Nublado,Jueves,12:00,Carmen,1,5,1,auto propio
01/10/2023,Química,Ventoso,Lunes,16:00,Jose,0,6,1,camina
17/01/2023,Matemáticas,Ventoso,Lunes,10:00,Carmen,1,3,0,bicicleta
01/03/2023,Matemáticas,Ventoso,Miércoles,14:00,Ana,0,10,0,bicicleta
07/07/2023,Química,Ventoso,Lunes,10:00,Juan,0,0,1,auto propio
04/11/2023,Biología,Ventoso,Lunes,12:00,Juan,1,10,0,camina
08/09/2023,Matemáticas,Soleado,Lunes,08:00,Carmen,0,4,0,taxi
17/03/2023,Química,Ventoso,Martes,12:00,Jose,0,0,1,moto
22/10/2023,Matemáticas,Lluvioso,Lunes,08:00,Norma,0,10,0,moto
09/04/2023,Química,Nublado,Miércoles,16:00,Jose,0,1,0,auto propio
31/05/2023,Historia,Soleado,Jueves,16:00,Juan,0,4,0,moto
24/02/2023,Matemáticas,Ventoso,Jueves,10:00,Jose,0,1,1,combi
02/05/2023,Biología,Nublado,Miércoles,16:00,Norma,0,1,0,camina
25/09/2023,Biología,Nublado,Miércoles,10:00,Norma,0,2,1,moto
03/08/2023,Historia,Lluvioso,Martes,14:00,Jose,0,6,0,auto propio
02/12/2023,Biología,Soleado,Martes,10:00,Carmen,1,6,0,camión
22/03/2023,Matemáticas,Soleado,Viernes,16:00,Norma,1,6,0,moto
14/04/2023,Física,Nublado,Jueves,08:00,Norma,0,9,1,camión
07/06/2023,Matemáticas,Nublado,Lunes,14:00,Norma,0,3,1,camina
20/03/2023,Matemáticas,Ventoso,Viernes,12:00,Ana,0,3,1,combi
28/11/2023,Biología,Nublado,Miércoles,14:00,Carmen,1,7,1,taxi
27/05/2023,Química,Ventoso,Viernes,16:00,Juan,1,0,0,taxi
23/04/2023,Historia,Nublado,Lunes,08:00,Jose,1,2,1,auto propio
15/04/2023,Historia,Ventoso,Lunes,10:00,Ana,1,7,1,taxi
10/04/2023,Biología,Soleado,Miércoles,14:00,Norma,1,5,1,moto
02/12/2023,Historia,Soleado,Jueves,08:00,Carmen,0,5,0,combi
03/07/2023,Biología,Soleado,Lunes,16:00,Norma,0,10,1,combi
25/12/2023,Matemáticas,Nublado,Viernes,08:00,Norma,1,8,1,auto propio
01/09/2023,Química,Nublado,Martes,16:00,Carmen,1,5,0,camión
14/12/2023,Matemáticas,Nublado,Miércoles,16:00,Norma,0,0,1,camión
23/01/2023,Biología,Soleado,Viernes,14:00,Juan,1,4,1,taxi
02/03/2023,Física,Nublado,Jueves,14:00,Jose,1,6,1,moto
26/02/2023,Física,Ventoso,Miércoles,14:00,Carmen,0,2,1,taxi
14/05/2023,Física,Ventoso,Martes,10:00,Juan,1,3,1,moto
24/05/2023,Física,Ventoso,Viernes,14:00,Ana,1,1,1,camina
06/12/2023,Matemáticas,Lluvioso,Lunes,10:00,Norma,0,5,1,camión
30/01/2023,Biología,Nublado,Miércoles,08:00,Norma,1,4,0,taxi
21/07/2023,Matemáticas,Ventoso,Viernes,10:00,Jose,0,4,1,moto
12/09/2023,Historia,Ventoso,Jueves,12:00,Carmen,1,10,1,combi
20/09/2023,Historia,Lluvioso,Lunes,16:00,Juan,0,2,1,moto
09/09/2023,Historia,Soleado,Miércoles,16:00,Carmen,1,5,0,taxi
17/08/2023,Química,Soleado,Jueves,16:00,Ana,1,1,1,taxi
21/03/2023,Biología,Soleado,Lunes,16:00,Norma,0,3,0,camión
25/01/2023,Química,Lluvioso,Viernes,12:00,Jose,0,4,1,combi
02/02/2023,Química,Lluvioso,Miércoles,14:00,Juan,1,9,1,moto
07/12/2023,Biología,Lluvioso,Martes,12:00,Jose,0,8,0,camión
22/04/2023,Biología,Nublado,Viernes,10:00,Ana,0,9,0,camión
11/11/2023,Química,Nublado,Martes,10:00,Carmen,1,7,1,camión
23/04/2023,Matemáticas,Ventoso,Miércoles,08:00,Norma,1,6,1,combi
24/06/2023,Química,Ventoso,Viernes,12:00,Norma,0,10,1,auto propio
16/08/2023,Física,Lluvioso,Lunes,10:00,Juan,0,0,0,bicicleta
01/03/2023,Matemáticas,Ventoso,Miércoles,12:00,Norma,0,9,1,auto propio
25/02/2023,Física,Ventoso,Viernes,16:00,Norma,0,10,1,camión
22/01/2023,Biología,Soleado,Viernes,16:00,Juan,0,4,1,auto propio
16/03/2023,Biología,Ventoso,Miércoles,10:00,Norma,0,8,1,auto propio
24/09/2023,Matemáticas,Lluvioso,Viernes,16:00,Jose,1,9,0,camión
16/04/2023,Historia,Ventoso,Martes,10:00,Jose,1,8,1,auto propio
11/08/2023,Historia,Nublado,Viernes,14:00,Ana,1,1,0,moto
14/01/2023,Física,Soleado,Viernes,16:00,Ana,1,1,0,camina
13/07/2023,Historia,Nublado,Lunes,10:00,Carmen,1,1,1,auto propio
17/12/2023,Física,Ventoso,Viernes,16:00,Carmen,1,6,1,camina
20/12/2023,Matemáticas,Ventoso,Martes,14:00,Norma,1,6,0,camina
21/08/2023,Química,Lluvioso,Viernes,16:00,Norma,1,3,0,combi
10/11/2023,Biología,Ventoso,Jueves,14:00,Carmen,0,8,0,auto propio
06/06/2023,Matemáticas,Lluvioso,Viernes,08:00,Juan,0,9,0,camina
28/08/2023,Física,Nublado,Viernes,08:00,Ana,1,6,1,taxi
26/09/2023,Química,Soleado,Viernes,10:00,Ana,0,10,1,camina
12/03/2023,Historia,Soleado,Lunes,10:00,Juan,0,9,0,taxi
11/01/2023,Biología,Lluvioso,Jueves,08:00,Juan,0,1,1,auto propio
22/10/2023,Química,Ventoso,Miércoles,14:00,Juan,1,1,0,combi
10/10/2023,Química,Lluvioso,Martes,14:00,Norma,1,8,0,taxi
05/04/2023,Física,Ventoso,Miércoles,08:00,Jose,1,9,0,taxi
14/10/2023,Física,Ventoso,Lunes,16:00,Norma,0,7,1,auto propio
13/03/2023,Matemáticas,Lluvioso,Viernes,16:00,Juan,0,8,0,camión
27/10/2023,Historia,Soleado,Miércoles,14:00,Juan,0,9,0,taxi
25/01/2023,Biología,Ventoso,Jueves,14:00,Ana,1,2,0,camión
01/09/2023,Historia,Ventoso,Viernes,10:00,Carmen,1,10,1,taxi
09/08/2023,Química,Ventoso,Jueves,12:00,Ana,0,5,0,taxi
09/12/2023,Matemáticas,Lluvioso,Miércoles,10:00,Jose,1,6,1,moto
04/11/2023,Química,Ventoso,Miércoles,10:00,Norma,1,0,1,moto
23/06/2023,Biología,Nublado,Jueves,14:00,Ana,1,2,1,combi
11/02/2023,Matemáticas,Nublado,Martes,12:00,Jose,1,10,1,moto
05/10/2023,Matemáticas,Ventoso,Jueves,08:00,Juan,0,8,0,camina
13/02/2023,Química,Nublado,Lunes,12:00,Norma,0,1,1,auto propio
01/08/2023,Física,Ventoso,Martes,16:00,Jose,1,0,0,taxi
21/05/2023,Química,Ventoso,Lunes,16:00,Juan,0,4,0,camión
13/02/2023,Física,Ventoso,Martes,12:00,Carmen,1,8,0,bicicleta
19/06/2023,Historia,Lluvioso,Jueves,10:00,Carmen,1,4,0,camión
13/06/2023,Matemáticas,Soleado,Jueves,12:00,Norma,1,7,1,camión
15/07/2023,Matemáticas,Lluvioso,Viernes,12:00,Norma,0,2,1,combi
28/10/2023,Física,Lluvioso,Viernes,08:00,Carmen,0,10,1,bicicleta
15/01/2023,Química,Ventoso,Viernes,16:00,Norma,0,3,1,auto propio
26/11/2023,Química,Soleado,Lunes,16:00,Ana,0,7,1,camión
14/02/2023,Física,Lluvioso,Lunes,16:00,Juan,1,5,0,taxi
21/06/2023,Biología,Nublado,Lunes,10:00,Ana,0,7,0,camión
15/12/2023,Matemáticas,Ventoso,Miércoles,14:00,Ana,1,10,0,bicicleta
18/08/2023,Biología,Nublado,Martes,10:00,Ana,0,5,1,combi
20/07/2023,Biología,Lluvioso,Viernes,16:00,Juan,0,9,0,moto
18/12/2023,Matemáticas,Soleado,Lunes,08:00,Carmen,0,5,0,auto propio
20/09/2023,Química,Lluvioso,Lunes,08:00,Norma,0,6,0,taxi
14/01/2023,Biología,Ventoso,Lunes,10:00,Juan,0,6,1,camina
09/10/2023,Física,Ventoso,Miércoles,16:00,Ana,1,9,1,camión
11/07/2023,Historia,Nublado,Lunes,10:00,Norma,0,6,0,auto propio
02/02/2023,Biología,Lluvioso,Miércoles,08:00,Jose,0,5,1,camina
09/11/2023,Historia,Lluvioso,Martes,14:00,Jose,1,1,0,bicicleta
19/02/2023,Historia,Soleado,Viernes,10:00,Ana,0,10,1,bicicleta
26/11/2023,Física,Lluvioso,Jueves,16:00,Ana,1,8,1,camión
15/07/2023,Historia,Soleado,Viernes,12:00,Jose,0,10,1,combi
12/04/2023,Biología,Nublado,Jueves,16:00,Carmen,0,7,0,camión
27/12/2023,Física,Ventoso,Lunes,16:00,Juan,1,8,1,auto propio
22/02/2023,Química,Soleado,Miércoles,12:00,Ana,0,5,0,camión
22/01/2023,Química,Nublado,Martes,14:00,Norma,1,7,1,taxi
29/09/2023,Historia,Soleado,Martes,10:00,Juan,0,7,1,moto
01/05/2023,Matemáticas,Nublado,Lunes,10:00,Norma,0,6,1,taxi
03/05/2023,Matemáticas,Lluvioso,Martes,10:00,Carmen,0,3,1,bicicleta
20/01/2023,Química,Nublado,Lunes,08:00,Jose,1,6,1,auto propio
20/02/2023,Matemáticas,Lluvioso,Viernes,16:00,Carmen,1,0,1,camión
22/03/2023,Física,Nublado,Martes,14:00,Juan,1,9,0,auto propio
03/10/2023,Biología,Lluvioso,Jueves,10:00,Carmen,1,7,1,combi
22/06/2023,Historia,Nublado,Jueves,16:00,Juan,0,8,1,auto propio
25/09/2023,Matemáticas,Lluvioso,Viernes,08:00,Norma,0,2,1,camión
29/12/2023,Matemáticas,Nublado,Martes,08:00,Juan,1,9,0,camina
23/02/2023,Historia,Ventoso,Martes,08:00,Ana,0,3,0,moto
06/01/2023,Química,Lluvioso,Lunes,10:00,Ana,1,6,1,bicicleta
21/06/2023,Química,Nublado,Viernes,12:00,Ana,0,1,0,taxi
22/12/2023,Química,Lluvioso,Martes,08:00,Jose,1,7,0,camina
28/07/2023,Matemáticas,Nublado,Miércoles,10:00,Juan,1,8,1,taxi
29/04/2023,Física,Soleado,Miércoles,14:00,Ana,1,10,0,combi
02/10/2023,Matemáticas,Lluvioso,Lunes,10:00,Carmen,1,2,0,camión
08/09/2023,Química,Ventoso,Jueves,16:00,Norma,1,6,1,taxi
22/03/2023,Biología,Nublado,Martes,12:00,Ana,0,1,1,camión
22/06/2023,Química,Lluvioso,Jueves,08:00,Carmen,1,10,0,taxi
05/02/2023,Química,Lluvioso,Martes,16:00,Ana,1,2,1,camina
30/09/2023,Química,Soleado,Viernes,08:00,Jose,0,9,1,auto propio
29/09/2023,Física,Lluvioso,Martes,14:00,Jose,1,2,1,combi
23/12/2023,Química,Nublado,Miércoles,12:00,Ana,0,1,0,moto
23/04/2023,Historia,Lluvioso,Viernes,10:00,Jose,1,8,1,camión
25/05/2023,Física,Ventoso,Jueves,08:00,Jose,0,9,0,taxi
07/08/2023,Historia,Lluvioso,Jueves,10:00,Jose,0,6,1,camión
30/03/2023,Matemáticas,Nublado,Lunes,10:00,Norma,1,0,0,camina
09/02/2023,Historia,Soleado,Viernes,10:00,Ana,0,1,1,moto
19/09/2023,Biología,Nublado,Miércoles,14:00,Jose,1,0,0,camina
15/05/2023,Historia,Lluvioso,Viernes,14:00,Ana,0,10,0,bicicleta
25/06/2023,Matemáticas,Ventoso,Viernes,14:00,Ana,1,2,1,moto
17/03/2023,Matemáticas,Soleado,Martes,12:00,Norma,0,8,1,taxi
24/04/2023,Física,Soleado,Viernes,10:00,Jose,0,2,0,combi
18/08/2023,Física,Nublado,Martes,12:00,Ana,0,7,0,camina
06/12/2023,Biología,Nublado,Lunes,12:00,Jose,0,0,0,bicicleta
11/12/2023,Matemáticas,Lluvioso,Viernes,14:00,Carmen,0,1,1,auto propio
01/12/2023,Biología,Soleado,Viernes,10:00,Carmen,0,3,1,bicicleta
19/08/2023,Física,Soleado,Martes,10:00,Juan,1,9,0,camina
19/03/2023,Historia,Lluvioso,Viernes,08:00,Jose,1,1,0,moto
07/12/2023,Matemáticas,Nublado,Jueves,10:00,Ana,1,9,0,camina
12/12/2023,Historia,Ventoso,Miércoles,10:00,Ana,0,3,1,taxi
01/05/2023,Química,Ventoso,Lunes,14:00,Juan,0,8,0,auto propio
17/08/2023,Biología,Soleado,Miércoles,16:00,Norma,0,10,0,bicicleta
27/03/2023,Química,Soleado,Martes,08:00,Juan,0,5,1,taxi
15/06/2023,Química,Ventoso,Martes,12:00,Norma,1,2,1,moto
15/02/2023,Matemáticas,Ventoso,Miércoles,08:00,Carmen,0,5,0,camina
12/12/2023,Biología,Lluvioso,Viernes,14:00,Juan,1,8,1,camina
22/08/2023,Matemáticas,Ventoso,Jueves,12:00,Ana,1,6,1,combi
21/05/2023,Biología,Lluvioso,Martes,14:00,Juan,1,1,0,combi
18/01/2023,Física,Ventoso,Martes,08:00,Norma,1,4,0,camión
06/07/2023,Matemáticas,Ventoso,Jueves,14:00,Norma,1,4,0,taxi
11/09/2023,Biología,Lluvioso,Jueves,10:00,Ana,0,9,1,combi
21/12/2023,Química,Soleado,Martes,10:00,Carmen,0,1,0,combi
22/12/2023,Física,Nublado,Jueves,14:00,Norma,1,1,1,bicicleta
10/11/2023,Biología,Ventoso,Martes,10:00,Juan,0,9,1,bicicleta
23/06/2023,Física,Soleado,Miércoles,08:00,Ana,0,7,1,auto propio
10/11/2023,Física,Nublado,Viernes,12:00,Juan,1,8,1,moto
23/10/2023,Física,Ventoso,Miércoles,08:00,Ana,0,4,1,moto
05/05/2023,Química,Nublado,Lunes,12:00,Juan,0,9,1,bicicleta
13/11/2023,Química,Lluvioso,Jueves,16:00,Ana,1,6,1,auto propio
15/05/2023,Historia,Lluvioso,Lunes,16:00,Ana,0,8,0,moto
12/07/2023,Matemáticas,Nublado,Martes,14:00,Ana,1,9,1,taxi
18/07/2023,Química,Ventoso,Jueves,10:00,Jose,0,5,0,auto propio
18/09/2023,Química,Nublado,Viernes,08:00,Carmen,1,6,0,taxi
20/06/2023,Matemáticas,Lluvioso,Miércoles,10:00,Juan,1,3,0,moto
03/07/2023,Matemáticas,Ventoso,Miércoles,10:00,Juan,0,4,1,auto propio
20/09/2023,Química,Nublado,Miércoles,08:00,Carmen,1,8,1,taxi
22/02/2023,Química,Soleado,Martes,08:00,Jose,0,6,1,camina
18/03/2023,Química,Nublado,Jueves,10:00,Jose,1,10,1,camión
19/12/2023,Química,Ventoso,Miércoles,08:00,Ana,1,4,0,bicicleta
10/05/2023,Química,Soleado,Lunes,16:00,Carmen,0,9,0,moto
11/10/2023,Física,Lluvioso,Lunes,14:00,Carmen,1,9,0,camión
17/07/2023,Biología,Nublado,Viernes,14:00,Juan,1,1,0,taxi
13/09/2023,Biología,Ventoso,Martes,08:00,Jose,0,10,0,combi
06/08/2023,Matemáticas,Nublado,Miércoles,12:00,Jose,1,7,0,taxi
01/01/2023,Química,Lluvioso,Viernes,12:00,Juan,0,7,0,combi
14/06/2023,Biología,Soleado,Viernes,08:00,Jose,1,8,1,auto propio
19/04/2023,Matemáticas,Lluvioso,Jueves,14:00,Ana,0,10,1,taxi
02/03/2023,Historia,Nublado,Jueves,12:00,Juan,1,4,1,auto propio
30/09/2023,Historia,Ventoso,Lunes,14:00,Carmen,1,5,0,taxi
06/12/2023,Historia,Nublado,Miércoles,12:00,Ana,0,10,1,auto propio
04/11/2023,Biología,Nublado,Jueves,08:00,Ana,1,9,1,bicicleta
02/09/2023,Biología,Soleado,Viernes,14:00,Juan,0,3,0,camión
28/12/2023,Física,Ventoso,Jueves,14:00,Juan,0,6,1,bicicleta
04/01/2023,Historia,Nublado,Lunes,16:00,Juan,1,4,1,bicicleta
15/01/2023,Química,Ventoso,Martes,12:00,Carmen,0,1,1,camina
23/06/2023,Física,Ventoso,Lunes,14:00,Juan,1,5,0,camina
18/03/2023,Matemáticas,Ventoso,Viernes,10:00,Juan,1,10,1,taxi
18/02/2023,Historia,Lluvioso,Lunes,10:00,Jose,0,9,1,camina
08/04/2023,Biología,Nublado,Lunes,16:00,Ana,0,6,0,combi
13/09/2023,Física,Lluvioso,Miércoles,14:00,Ana,0,3,0,camina
30/05/2023,Química,Nublado,Miércoles,08:00,Jose,0,7,1,bicicleta
03/05/2023,Matemáticas,Ventoso,Jueves,16:00,Norma,0,6,1,auto propio
14/11/2023,Química,Soleado,Jueves,12:00,Juan,0,7,1,auto propio
05/06/2023,Física,Lluvioso,Miércoles,14:00,Carmen,0,1,0,camión
07/12/2023,Historia,Nublado,Viernes,14:00,Juan,1,2,0,bicicleta
02/08/2023,Física,Nublado,Viernes,10:00,Juan,1,10,1,taxi
17/09/2023,Matemáticas,Lluvioso,Martes,12:00,Norma,0,6,1,camión
18/11/2023,Matemáticas,Ventoso,Martes,14:00,Norma,1,4,1,camión
17/07/2023,Química,Nublado,Viernes,08:00,Juan,1,9,0,bicicleta
09/08/2023,Historia,Ventoso,Jueves,16:00,Ana,1,9,0,auto propio
28/09/2023,Química,Soleado,Jueves,08:00,Ana,0,10,1,camión
09/04/2023,Química,Nublado,Viernes,12:00,Juan,0,5,1,camina
